IncidentID,County,RdwyNumber,RdwyType,Street,RoadwayName,StreetSfx,StreetDir,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,KABCO,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Intersection Crash,Bicyclist,Pedestrian,Motor Vehicles
26140127,CAMPBELL,KY1120,StateRoute,,10TH,ST,E,39.08957488,-84.48461889,1.083,1/1/2020 0:00,45,2,2,0,0,O,CLOUDY,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,1,0,0,1
26212634,CAMPBELL,KY0008,StateRoute,123,6TH,AVE,,39.10944903,-84.47929158,2.175,1/1/2020 0:00,202,2,2,0,0,O,CLEAR,DRY,0,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),HEAD ON,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26124421,CAMPBELL,KY1120,StateRoute,322,11TH,ST,W,39.0824496,-84.49413531,0.366,1/1/2020 0:00,1053,2,2,0,0,O,CLEAR,DRY,1,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26126291,CAMPBELL,,OTHR,300,RIVERBOAT,ROW,,39.10005706,-84.49146587,0.208,1/1/2020 0:00,2038,2,2,0,0,O,CLOUDY,DRY,1,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26136014,CAMPBELL,KY1892,StateRoute,75,CAROTHERS,RD,,39.08620917,-84.47890675,2.243,1/2/2020 0:00,1737,2,2,0,0,O,OTHER,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,0,0,0,1
26133799,CAMPBELL,,OTHR,160,NEWPORT PAVILION,,,39.09090572,-84.47791207,0.206,1/2/2020 0:00,1710,2,2,0,0,O,RAINING,WET,0,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26133798,CAMPBELL,KY1892,StateRoute,,GRAND,AVE,N,39.08038029,-84.46735265,1.428,1/2/2020 0:00,1330,3,3,0,0,O,CLOUDY,WET,0,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26132316,CAMPBELL,,OTHR,,11TH,ST,E,39.08613226,-84.48749035,0.001,1/2/2020 0:00,1855,2,1,0,1,C,RAINING,WET,0,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,1,0
26136011,CAMPBELL,I 0471,Interstate,3.3,I471 N,,,39.08777672,-84.47431213,3.439,1/3/2020 0:00,643,2,2,0,0,O,RAINING,WET,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26147296,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.02775811,-84.44929861,16.042,1/3/2020 0:00,1605,2,2,0,0,O,RAINING,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
